Quest Title,Type,Objectives,Rewards,Required for Kappa
Escort,Elimination,"You must not die or leave the raid while the task is active (Status: KIA, Left the Action, MIA, Ran Through)
Eliminate 4 PMCs on daytime Factory
Eliminate 4 PMCs on Customs
Eliminate 4 PMCs on Shoreline
Eliminate 4 PMCs on Reserve
Eliminate 4 PMCs on Woods
Eliminate 4 PMCs on Interchange
Eliminate 4 PMCs in The Lab","+177,000 EXP
+5 Melee skill levels
+5 Pistols skill level
+5 Strength skill level
1× 6B43 6A Zabralo-Sh body armor
1× Rys-T bulletproof helmet
1× Rys-T face shield
Unlocks craft for Rys-T bulletproof helmet at Lavatory level 3",No
Easy Job - Part 1,Discovery,"Locate the helicopter at the water treatment plant on Lighthouse
Mark the helicopter with an MS2000 Marker
Survive and extract from the location","+15,000 EXP
Prapor Rep +0.02
120,000 Roubles
1x 6Sh118 raid backpack
1x Kalashnikov AK-12 5.45x39 assault rifle",Yes
Easy Job - Part 2,Elimination,Eliminate any 20 targets around the helicopter area at the water treatment plant on Lighthouse,"+18,000 EXP
Prapor Rep +0.02
155,000 Roubles
Unlocks purchase of AK 7.62x39 Molot 75-round drum magazine at Prapor LL3",Yes
Our Own Land,Elimination,"Eliminate 20 USEC PMC operatives all over the Lighthouse territory
Hand over 20 found in raid USEC PMC dogtags","+22,000 EXP
Prapor Rep +0.02
300,000 Roubles
Unlocks purchase of 23x75mm Zvezda flashbang round at Prapor LL3
3× TOZ KS-23M 23x75mm pump-action shotgun",No
Reconnaissance,Exploration,"Recon the roof of the first office building on Lighthouse
Recon the roof of the second office building on Lighthouse
Recon the roof of the third office building on Lighthouse
Survive and extract from the location","18,000 EXP
Prapor Rep +0.03
155,000 Roubles
1× NPP KlASS Korund-VM body armor (Black)
1× NPP KlASS Condor glasses
Unlocks barter for Korund-VM ballistic plates (Front) at Prapor LL3",Yes
You've Got Mail,Completion,"Obtain the registered mail on Streets of Tarkov
Hand over the letter","+4,800 EXP
Prapor Rep +0.02
28,000 Roubles
1× 6B47 Ratnik-BSh helmet
1× 5.45x39mm BP gs ammo pack (30 pcs)
Unlocks purchase of 9x18mm PM SP7 gzh at Prapor LL2",No
Glory to CPSU - Part 1,Completion,"Locate the apartment of Prapor's friend on Streets of Tarkov
Survive and extract from the location","+7,300 EXP
Prapor Rep +0.02
42,000 Roubles
2× Bottle of Tarkovskaya vodka",No
Glory to CPSU - Part 2,PickUp,"Locate the place of work of Prapor's friend on Streets of Tarkov
Obtain any information on the fate of Prapor's friend
Survive and extract from the location
Hand over the found data","+10,100 EXP
Prapor Rep +0.01
50,000 Roubles
1× Tokarev SVT-40 7.62x54R rifle
2× SVT-40 7.62x54R 10-round magazine
30× 7.62x54mm R PS gzh
Unlocks barter for Tokarev AVT-40 7.62x54R automatic rifle at Prapor LL3",No
Best Job in the World,Elimination,Eliminate any 30 hostiles from over 100 meters away while using AK-74 series weapons,"+15,400 EXP
Prapor Rep +0.03
Unlocks barter for GP-25 ""Kostyor"" 40mm underbarrel grenade launcher at Prapor LL3
Unlocks purchase of 40mm VOG-25 grenade at Prapor LL3",No
Kings of the Rooftops,Elimination,"Eliminate 10 snipers on the rooftops on Streets of Tarkov
Survive and extract from the location","+14,700 EXP
Prapor Rep +0.02
77,000 Roubles",No
Green Corridor,Exploration,"Locate the cargo convoy on Streets of Tarkov
Determine the ambush spot
Survive and extract from the location","+10,400 EXP
Prapor Rep +0.02
62,000 Roubles
1× SR-2M ""Veresk"" 9x21 submachine gun
3× SR-2M 9x21 20-round magazine
80× 9x21mm P gzh",No
Gendarmerie - Mall Cop,Elimination,Eliminate any 15 targets at the Stylobate building while using Pistols on Streets of Tarkov,"+21,500 EXP
Prapor Rep +0.02
120,000 Roubles
1× SR-2M ""Veresk"" 9x21 submachine gun
4× SR-2M 9x21 30-round magazine
140× 9x21mm PS gzh
Unlocks barter for Serdyukov SR-1MP Gyurza 9x21 pistol (variant Tactical 2) at Prapor LL4",No
"Gendarmerie - Tickets, Please",Elimination,Eliminate any 25 targets at the Rodina cinema while using SMGs on Streets of Tarkov,"+22,600 EXP
Prapor Rep +0.03
150,000 Roubles
2× Kalashnikov AK-103 7.62x39 assault rifle
4× AK-103 7.62x39 30-round magazine
180× 7.62x39mm PP gzh
Unlocks barter for SR-2M ""Veresk"" 9x21 submachine gun (variant FSB) at Prapor LL4",No
Gendarmerie - District Patrol,Elimination,Eliminate any 30 targets at the Cardinal apartment complex while using Assault rifles or Assault carbines on Streets of Tarkov,"+25,000 EXP
Prapor Rep +0.04
185,000 Roubles
16× Bottle of Tarkovskaya vodka
1× BNTI Zhuk body armor (Digital Flora)
Unlocks barter for Kalashnikov AK-12 5.45x39 assault rifle at Prapor LL4",No
Luxurious Life,PickUp,"Locate the liquor store on Ground Zero
Locate and obtain the wine bottle in the store
Hand over the wine bottle","+1,750 EXP
Prapor Rep +0.01
14,000 Roubles
1× Molot VPO-136 ""Vepr-KM"" 7.62x39 carbine
5× 7.62x39mm FMJ ammo pack (20 pcs)
3× AK 7.62x39 30-round magazine (issued '55 or later)",No
Properties All Around,PickUp,"Locate the real estate fund on Streets of Tarkov
Locate and obtain the Tarkov real estate transactions document
Hand over the obtained information","+11,600 EXP
Prapor Rep +0.02
80,000 Roubles
1× SR-2M ""Veresk"" 9x21 submachine gun
3× SR-2M 9x21 30-round magazine
4× 9x21mm PS gzh ammo pack (30 pcs)",No
Therapist,,,,
Quest,Type,,,Objectives
First in Line,Exploration,"Locate the Emercom station on Ground Zero
Hand over any 3 medicine items","+1,200 EXP
Therapist Rep +0.01
6,400 Roubles
1× Factory plan map
2× Bottle of water (0.6L)",No
Shortage,PickUp,"Find 3 Salewa first aid kits in raid
Hand over 3 Salewa first aid kits to Therapist","+2,000 EXP
Therapist Rep +0.03
15,000 Roubles
2× Car first aid kit
4× Analgin painkillers
4× Aluminum splint",Yes
Operation Aquarius - Part 1,PickUp,"Find the water hidden inside of the dorms on Customs
Survive and extract from the location","+3,300 EXP
Therapist Rep +0.03
Skier Rep -0.02
14,000 Roubles
5× Bottle of water (0.6L)
1× Water filter",Yes
Operation Aquarius - Part 2,Elimination,Eliminate 15 Scavs on Customs,"+3,400 EXP
Therapist Rep +0.03
Jaeger Rep +0.01
20,000 Roubles
3× Esmarch tourniquet
1× Aluminum splint
Unlocks purchase of Army bandage at Therapist LL2",Yes
Sanitary Standards - Part 1,PickUp,"Find 1 Gas analyzer in raid
(Optional) Gain access to the locked pumping station on Factory
Hand over the 1 Gas analyzer to Therapist","+2,200 EXP
Therapist Rep +0.03
14,000 Roubles
2× Car first aid kit
Unlocks purchase of Car first aid kit at Therapist LL1",Yes
Sanitary Standards - Part 2,Completion,"Find 2 Gas analyzers in raid
Hand over 2 Gas analyzers to Therapist","+4,500 EXP
Therapist Rep +0.03
30,000 Roubles
1× Propital regenerative stimulant injector",Yes
Painkiller,PickUp,"Find 4 Morphine injectors in raid
Hand over 4 Morphine injectors to Therapist","+4,500 EXP
Therapist Rep +0.03
17,000 Roubles
5× Disposable syringe
1× Silicone tube
2× Analgin painkillers
2× Pile of meds",Yes
Pharmacist,PickUp,"Obtain the case containing the device on Customs
(Optional) Find the paramedic's car on Customs
(Optional) Get into two-story dorm room 114 on Customs
Hand over the case to Therapist","+5,700 EXP
Therapist Rep +0.04
25,000 Roubles
1× AFAK tactical individual first aid kit
3× Pile of meds
Unlocks barter for 6B47 Ratnik-BSh helmet (Digital Flora cover) at Ragman LL2",Yes
Car Repair,PickUp,"Find 4 Car batteries in raid
Find 8 Spark plugs in raid
Hand over 4 Car batteries to Therapist
Hand over 8 Spark plugs to Therapist","+6,900 EXP
Therapist Rep +0.04
1,500 Dollars
1× Grizzly medical kit
1× eTG-change regenerative stimulant injector
1× Adrenaline injector",Yes
Disease History,PickUp,"Obtain Medical record #1 on Reserve
Obtain Medical record #2 on Reserve
Hand over the first journal to Therapist
Hand over the second journal to Therapist","+7,200 EXP
Therapist Rep +0.03
30,000 Roubles
1× Grizzly medical kit
1× Ibuprofen painkillers
5× CALOK-B hemostatic applicator",Yes
Supply Plans,PickUp,"Obtain the Secure Folder 0052 in the sawmill on Woods
Hand over Secure Folder 0052 to Therapist","+7,500 EXP
Therapist Rep +0.04
75,000 Roubles
1× CMS surgical kit",No
Health Care Privacy - Part 1,Discovery,"Find and mark the first ambulance with an MS2000 Marker on Shoreline
Find and mark the second ambulance with an MS2000 Marker on Shoreline
Find and mark the third ambulance with an MS2000 Marker on Shoreline","+4,800 EXP
Therapist Rep +0.03
22,000 Roubles
2× IFAK individual first aid kit
Unlocks purchase of IFAK individual first aid kit at Therapist LL3",Yes
Health Care Privacy - Part 2,Discovery,"Search the room in the Health Resort for any documents about TerraGroup's research
Hand over the retrieved information to Therapist
Survive and extract from the location","+5,900 EXP
Therapist Rep +0.04
24,000 Roubles
4× Salewa first aid kit",Yes
Health Care Privacy - Part 3,Discovery,"Locate the van of the Health Resort medical services director on Woods
Take a sample of the blood
Hand over the blood sample
Survive and extract from the location","+5,900 EXP
Therapist Rep +0.04
26,000 Roubles
2× Morphine injector
2× Adrenaline injector
Unlocks purchase of Morphine injector at Therapist LL4",Yes
An Apple a Day Keeps the Doctor Away,Completion,"Hand over 400,000 RUB to Therapist",+2 Health skill levels,No
Health Care Privacy - Part 4,Skill,Reach the required Health skill level of 4,"+6,000 EXP
Therapist Rep +0.04
29,000 Roubles
2× Grizzly medical kit
2× Bottle of saline solution",Yes
Athlete,Skill,Reach the required Health skill level of 10,"+21,900 EXP
Therapist Rep +0.04
110,000 Roubles
1× Dundukk sport sunglasses
3× Zagustin hemostatic drug injector
3× Adrenaline injector
Unlocks purchase of Adrenaline injector at Therapist LL4",Yes
Private Clinic,Completion,"Find 1 Ophthalmoscope in raid
Find 1 LEDX Skin Transilluminator in raid
Hand over 1 Ophthalmoscope to Therapist
Hand over 1 LEDX Skin Transilluminator to Therapist","+30,600 EXP
Therapist Rep +0.05
130,000 Roubles
1× T H I C C item case
1× Health Resort east wing room 306 key",Yes
Health Care Privacy - Part 5,Multi,"Locate the drop spot on Factory at night
Obtain 3 packs of Gunpowder ""Kite"" and stash them in the designated spot","+7,300 EXP
Therapist Rep +0.04
35,000 Roubles
1× Medicine case",Yes
Decontamination Service,Elimination,Eliminate 40 Scavs on Interchange in close range (less than 60 meters) while wearing specific gear,"+30,500 EXP
Therapist Rep +0.05
Jaeger Rep +0.01
300,000 Roubles
3× Morphine injector
3× IFAK individual first aid kit
3× GP-7 gas mask",Yes
General Wares,Completion,"Find 15 Small cans of beef stew in raid
Hand over 15 Small cans of beef stew to Therapist","+4,800 EXP
Therapist Rep +0.03
30,000 Roubles
4× Can of pacific saury
2× Iskra ration pack
2× Can of Majaica coffee beans",Yes
Colleagues - Part 1,Exploration,"Locate the group that was sent to the Health Resort
Locate the group that was sent to the pier
Locate the group that was sent to the cottages
Survive and extract from the location","+12,300 EXP
Therapist Rep +0.04
45,000 Roubles
2× SJ1 TGLabs combat stimulant injector
2× SJ6 TGLabs combat stimulant injector",Yes
Colleagues - Part 2,PickUp,"Obtain Sanitar's Surgery kit marked with a blue symbol
Hand over Sanitar's Surgery kit to Therapist
Obtain Sanitar's ophthalmoscope
Hand over Sanitar's ophthalmoscope to Therapist","+12,400 EXP
Therapist Rep +0.04
60,000 Roubles
1× Surv12 field surgical kit
1× P22 (Product 22) stimulant injector",Yes
Colleagues - Part 3,PickUp,"Do not kill Sanitar
Find 10 TerraGroup Labs access keycards in raid
Hand over the keycards
Find AHF1-M stimulant injector in raid
Hand over the injector
Find 3-(b-TG) stimulant injector in raid
Hand over the injector","+15,800 EXP
Therapist Rep +0.04
Fence Rep +0.25
150,000 Roubles
1× TerraGroup Labs keycard (Black)
1× Medicine case
3× L1 (Norepinephrine) injector
3× Meldonin injector
5× ""Obdolbos 2"" cocktail injector
4× Grizzly medical kit",No
Postman Pat - Part 2,PickUp,Hand over the letter from Prapor's messenger,"+3,500 EXP
Therapist Rep +0.02
5,000 Roubles
Unlocks purchase of Salewa first aid kit at Therapist LL2",Yes
Out of Curiosity,PickUp,"Find the transport with the chemicals on Customs
Mark the vehicle with an MS2000 Marker
Survive and extract from Customs","+7,700 EXP
Therapist Rep +0.04
170,000 Roubles
1× Injector case",No
Trust Regain,PickUp,"Obtain 1 Dorm room 303 key
Obtain 1 ZB-014 key
Obtain 1 Military checkpoint key
Obtain 1 Gas station storage room key
Hand over 1 Dorm room 303 key to Therapist
Hand over 1 ZB-014 key to Therapist
Hand over 1 Customs military checkpoint key to Therapist
Hand over 1 Gas station storage room key to Therapist",Therapist Rep +0.25,No
Crisis,PickUp,"Find 3 Portable defibrillators in raid
Find 3 Ophthalmoscopes in raid
Find 2 LEDX Skin Transilluminators in raid
Find 20 Piles of meds in raid
Find 10 Bottles of OLOLO Multivitamins in raid
Hand over the 3 ophthalmoscopes
Hand over the 3 defibrillators
Hand over the 2 LEDX
Hand over the 20 Piles of meds
Hand over the 10 multivitamins","+97,000 EXP
1× Medicine case
+4 Immunity skill level
+4 Vitality skill level
+4 Surgery skill level
Unlocks craft for ETG-change regenerative stimulant injector at Medstation level 2
Unlocks craft for M.U.L.E. stimulant injector at Medstation level 2",Yes
Seaside Vacation,PickUp,"Find the informant's briefcase on Lighthouse
Hand over the found package","8,000 EXP
Therapist Rep +0.02
50,000 Roubles
Unlocks purchase of Aluminum splint at Therapist LL3",Yes
Lost Contact,Discovery,"Find the lost group in the chalet area on Lighthouse
Survive and extract from the location","+7,000 EXP
Therapist Rep +0.02
40,000 Roubles
Unlocks barter for Grizzly medical kit at Therapist LL2",Yes
Population Census,PickUp,"Obtain the journal containing resident details on Streets of Tarkov
Hand over the journal","+6,900 EXP
Therapist Rep +0.02
35,000 Roubles
2× Salewa first aid kit
2× Medical tools",No
Dangerous Road,Exploration,Survive and extract from Streets of Tarkov through Primorsky Ave Taxi V-Ex,"+7,800 EXP
Therapist Rep +0.01
45,000 Roubles
2× Aluminum splint
2× CALOK-B hemostatic applicator",No
Urban Medicine,PickUp,"Locate the chemical laboratory on Streets of Tarkov
Obtain the container with drug samples
Hand over the container","+10,200 EXP
Therapist Rep +0.02
51,000 Roubles
2× Adrenaline injector
1× Zagustin hemostatic drug injector",No
Drug Trafficking,Completion,"Locate the hidden drug lab on Lighthouse
Stash a WI-FI Camera in the drug lab","+7,500 EXP
Therapist Rep +0.03
45,000 Roubles
1× Propital regenerative stimulant injector
1× ETG-change regenerative stimulant injector
1× Zagustin hemostatic drug injector",Yes
Pets Won't Need It - Part 1,Exploration,"Locate and scout the vet clinic on Streets of Tarkov
Locate and scout the x-ray technician's room on Streets of Tarkov
Survive and extract from the location","+8,100 EXP
Therapist Rep +0.01
43,000 Roubles
4× Adrenaline injector
2× Medical bloodset
2× Bottle of saline solution",No
Pets Won't Need It - Part 2,Exploration,"Locate the first pharmacy on Primorsky Ave on Streets of Tarkov

Locate the second pharmacy on Primorsky Ave on Streets of Tarkov
Locate the third pharmacy at Cardinal apartment complex on Streets of Tarkov
Survive and extract from the location","+9,000 EXP
Therapist Rep +0.02
55,000 Roubles
4× Disposable syringe
4× Pile of meds
2× Morphine injector
2× L1 (Norepinephrine) injector",No
